,OVERALL SCORE,1) PREVENTION OF THE EMERGENCE OR RELEASE OF PATHOGENS,2) EARLY DETECTION & REPORTING FOR EPIDEMICS OF POTENTIAL INT'L CONCERN,3) RAPID RESPONSE TO AND MITIGATION OF THE SPREAD OF AN EPIDEMIC,4) SUFFICIENT & ROBUST HEALTH SECTOR TO TREAT THE SICK & PROTECT HEALTH WORKERS,"5) COMMITMENTS TO IMPROVING NATIONAL CAPACITY, FINANCING AND ADHERENCE TO NORMS",6) OVERALL RISK ENVIRONMENT AND COUNTRY VULNERABILITY TO BIOLOGICAL THREATS
Afghanistan,9.239996059319228,7.572494917454113,9.829644534416765,4.992588002967208,12.046881554205564,74.10201593617523,39.25381691260247
Andorra,10.38813818773129,15.383090384700136,15.508250110494698,6.162418539675362,8.65435321652171,51.09123292100983,111.02145557121189
Armenia,14.750233219868324,20.249932830873878,24.093556923994882,7.129452302974421,25.165137785539915,71.8701694490549,62.01842473678563
Australia,16.0252460250112,31.65696057582631,27.109298630916296,7.389482072379719,28.49767234965839,89.03783884649079,104.18223584560751
Austria,14.041782293401315,26.888342493941256,16.576124509422712,6.310926283573728,23.573332566518292,78.05061558765836,121.27198266895363
Azerbaijan,10.38813818773129,17.952994365662295,10.231025581325957,5.6594014009205,12.510153682805852,44.94958469806569,79.15862558686307
Belgium,14.392242731208203,27.256787300067955,19.79932226780924,6.590690847674951,26.913992859853977,74.36486073648098,106.00231989070303
Bangladesh,10.536447711101868,13.736184595326662,17.271005687612742,5.355757418807135,13.132677676494254,49.807801744778715,63.90459091019669
Bosnia and Herzegovina,10.517996214604125,16.93769426921023,7.207363055950865,5.9727307035885655,19.30290167336771,45.58706436758489,66.52414063479662
Bolivia,9.461961158733999,20.116836444007106,10.085864425897556,5.305125126856016,9.492893590791383,29.33683863049656,64.48592502107775
Central African Republic,6.9499836746028665,6.700408552141256,6.610326014711164,4.602661672194244,5.02628227802746,39.23793882509003,31.79613131758226
Canada,15.851982384161731,33.67790739668666,24.38812718550835,6.7510675607856,27.89968879499774,98.37017537408143,113.00416738896443
Switzerland,14.31979231858373,25.608373498105802,16.896219127777897,7.543128262675329,22.524711098870398,72.52615812213344,117.2848515019912
Chile,13.938251762217591,24.352709235280937,21.179045534852097,7.288509268243723,23.203176324803902,63.89767157359891,89.42517473254176
Cote d'Ivoire,9.719354667668371,7.800819828810449,12.940295419591585,5.873845900607069,9.44695989242844,56.89054411203529,58.54934293645001
Colombia,13.487466545952827,25.898911452804185,21.12675452652199,6.784551224777599,21.700831934857828,74.89072174724419,66.96160977955003
Costa Rica,11.481492874538667,17.63165996047906,14.06189763079262,6.361163461510343,15.994104440197155,45.07703672583363,88.97658142258867
Cuba,9.58140337395276,15.43080095984882,6.868770703697718,5.667027689554769,10.530226092419097,43.80351564199967,70.17718545227457
